S/N,AMOUNT,ITEM,??,UNIX TIMESTAMP,STATUS,PAYMENT REF,SESSION,,PRINT STATUS,LEVEL,??
208,25000,CERT,1,1614074182,successful,SD1RT6PAC,2020/2021,nil,PRINTED,ND,YES
209,25000,CERT,1,1614075099,successful,0KBSF4UHM,2020/2021,nil,PRINTED,ND,YES
210,25000,CERT,1,1614075445,successful,04DBJ08PK,2020/2021,nil,PRINTED,HND,NIL
213,20000,CERT,1,1614076303,failed,FG6JRWKUQ,2020/2021,nil,UNPRINTED,HND,NIL
212,25000,CERT,1,1614075764,successful,KQ8JGF0VM,2020/2021,nil,PRINTED,HND,YES
214,25000,CERT,1,1614076476,successful,FG6JRWKUQ,2020/2021,nil,UNPRINTED,HND,NIL
215,25000,CERT,1,1614077760,successful,12RK0Q8PE,2020/2021,nil,PRINTED,ND,YES
216,25000,CERT,1,1614077435,successful,Q08TDSUPK,2020/2021,nil,PRINTED,ND,NIL
217,10000,TRANS,1,1614079607,successful,KAMNCBPJF,2020/2021,nil,PRINTED,ND,YES
218,25000,CERT,1,1614079045,successful,A9P0V1CTE,2020/2021,nil,PRINTED,ND,YES
220,25000,CERT,1,1614080327,successful,WPM29Q07D,2020/2021,nil,PRINTED,ND,YES
219,25000,CERT,1,1614079785,successful,S2F1DGCHB,2020/2021,nil,PRINTED,ND,YES
221,25000,CERT,1,1614080448,successful,ED18V9A2T,2020/2021,nil,PRINTED,ND,YES
222,25000,CERT,1,1614082503,successful,TN0WJ0VEG,2020/2021,nil,PRINTED,ND,NIL
223,25000,CERT,1,1614082966,successful,2Q6HEKST4,2020/2021,nil,PRINTED,ND,NIL
224,25000,CERT,1,1614086232,successful,Q0EWNRSTH,2020/2021,nil,PRINTED,ND,NIL
225,25000,CERT,1,1614086101,successful,78RDEMGNS,2020/2021,nil,PRINTED,ND,YES
227,25000,CERT,1,1614089987,failed,D9CAU5TGV,2020/2021,nil,UNPRINTED,HND,NIL
226,25000,CERT,1,1614086653,successful,PG1RC8A0E,2020/2021,nil,PRINTED,ND,NIL
228,25000,CERT,1,1625558595,successful,R7NS0JQPM,2020/2021,nil,PRINTED,HND,NIL
229,25000,CERT,1,1614098772,successful,R7NS0JQPM,2020/2021,nil,UNPRINTED,ND,YES
230,25000,CERT,1,1614105707,failed,9KGFSCEPN,2020/2021,nil,UNPRINTED,ND,NIL
231,25000,CERT,1,1614120933,successful,7JDC0EHKR,2020/2021,nil,PRINTED,ND,YES
232,25000,CERT,1,1614155903,successful,70FSTANQR,2020/2021,nil,PRINTED,ND,YES
233,25000,CERT,1,1614158298,successful,W9V8MUHS2,2020/2021,nil,PRINTED,ND,NIL
780,25000,CERT,1,1617710642,successful,UCH6D10A5,2020/2021,nil,PRINTED,ND,YES
234,25000,CERT,1,1614161485,failed,REDN8S0W9,2020/2021,nil,UNPRINTED,HND,NIL
235,25000,CERT,1,1614162856,successful,5SATPFM00,2020/2021,nil,PRINTED,ND,YES
236,25000,CERT,1,1614165088,successful,0G152R4QV,2020/2021,nil,PRINTED,ND,NIL
237,25000,CERT,1,1614165074,successful,CHJVKSTBR,2020/2021,nil,PRINTED,ND,NIL
239,20000,CERT,1,1614165980,successful,1MV4F8KWS,2020/2021,nil,UNPRINTED,HND,YES
238,25000,CERT,1,1614165808,successful,1MV4F8KWS,2020/2021,nil,PRINTED,ND,NIL
240,25000,CERT,1,1614166862,failed,7H016NM28,2020/2021,nil,UNPRINTED,HND,NIL
241,25000,CERT,1,1614167474,failed,684RB0V0S,2020/2021,nil,UNPRINTED,HND,NIL
242,25000,CERT,1,1614167580,successful,KH8NSR1WQ,2020/2021,nil,PRINTED,HND,NIL
243,10000,TRANS,1,1614168190,successful,PDNBUC19T,2020/2021,nil,PRINTED,ND,NIL
249,25000,CERT,1,1614172954,successful,K50DBQGJM,2020/2021,nil,PRINTED,ND,YES
244,10000,TRANS,1,1614168602,successful,00ETB4SRQ,2020/2021,nil,PRINTED,ND,NIL
245,25000,CERT,1,1614168550,successful,2QJ01U0FW,2020/2021,nil,PRINTED,HND,NIL
246,10000,TRANS,1,1614168912,successful,A5CJ0NUT6,2020/2021,nil,PRINTED,HND,NIL
247,10000,TRANS,1,1614169079,successful,NM920BSDE,2020/2021,nil,UNPRINTED,HND,NIL
248,25000,CERT,1,1630914612,successful,U0RV4HQKD,2020/2021,nil,PRINTED,HND,NIL
250,25000,CERT,1,1614175675,successful,FM6589C4E,2020/2021,nil,PRINTED,ND,NIL
251,10000,TRANS,1,1614179123,successful,M75QTCEG6,2020/2021,nil,PRINTED,ND,NIL
252,25000,CERT,1,1614190202,failed,P0H5MEDQ4,2020/2021,nil,UNPRINTED,HND,NIL
253,25000,CERT,1,1617608235,successful,NWDQ6M9SJ,2020/2021,nil,PRINTED,HND,NIL
254,25000,CERT,1,1614193130,successful,NWDQ6M9SJ,2020/2021,nil,UNPRINTED,ND,YES
255,25000,CERT,1,1614203382,successful,JN6BQ50CM,2020/2021,nil,PRINTED,HND,YES
256,25000,CERT,1,1614245291,successful,KS1H8GDJ9,2020/2021,nil,UNPRINTED,HND,YES
257,25000,CERT,1,1614244133,successful,T0UAVRWQ5,2020/2021,nil,PRINTED,HND,NIL
258,25000,CERT,1,1614245311,successful,SKA75PG61,2020/2021,nil,PRINTED,ND,NIL
259,25000,CERT,1,1614249411,successful,52M06CERN,2020/2021,nil,PRINTED,ND,YES
260,25000,CERT,1,1614249890,successful,B0D98VK7R,2020/2021,nil,PRINTED,HND,NIL
261,10000,TRANS,1,1629288262,successful,NERHPT0C4,2020/2021,nil,PRINTED,HND,NIL
262,25000,CERT,1,1614250451,successful,UVWG0CT6D,2020/2021,nil,PRINTED,HND,NIL
263,25000,CERT,1,1614251474,successful,QKSC1PDAN,2020/2021,nil,PRINTED,ND,NIL
265,25000,CERT,1,1614257463,successful,9407WJSFE,2020/2021,nil,PRINTED,ND,YES
264,25000,CERT,1,1614251673,failed,9WCJ8TPD0,2020/2021,nil,UNPRINTED,ND,NIL
266,10000,TRANS,1,1614253416,successful,SD00RVTG7,2020/2021,nil,PRINTED,ND,NIL
267,25000,CERT,1,1614255740,successful,60U4G2QKC,2020/2021,nil,PRINTED,ND,NIL
268,25000,CERT,1,1614259065,successful,KS1H8GDJ9,2020/2021,nil,PRINTED,ND,NIL
269,25000,CERT,1,1614268663,successful,CWBJ4N709,2020/2021,nil,PRINTED,ND,YES
270,25000,CERT,1,1614265422,successful,6FV2UQRB9,2020/2021,nil,PRINTED,ND,NIL
271,25000,CERT,1,1614266892,successful,TENFC9S7V,2020/2021,nil,PRINTED,ND,NIL
272,25000,CERT,1,1614267241,successful,VJ4EBU2HR,2020/2021,nil,PRINTED,ND,NIL
273,25000,CERT,1,1614324447,failed,8UNE1HDWT,2020/2021,nil,UNPRINTED,ND,NIL
274,25000,CERT,1,1614327255,failed,6SBD2NFMG,2020/2021,nil,UNPRINTED,ND,NIL
